artists,album_name,track_name,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,duration_min,duration_category,popularity_category
Feora,T-KT,T-KT,48.0,False,0.44,0.306,2,-14.857,0,0.0378,0.888,0.12175,0.0878,0.0702,75.006,anime,2.7396,Media,Media
Yoshihisa Hirano,DEATH NOTE Original Soundtrack,Kyrie,42.0,False,0.238,0.239,2,-11.987,1,0.0312,0.968,0.12175,0.0832,0.0398,65.004,anime,1.384,Corta,Media
Yoshihisa Hirano,DEATH NOTE Original Soundtrack,Low of Solipsism,45.0,False,0.401,0.452,2,-9.352,0,0.037,0.86,0.12175,0.112,0.0431,132.127,anime,2.4,Corta,Media
SawanoHiroyuki[nZk];たかはしほのか,LilaS,LilaS,56.0,False,0.558,0.559,5,-4.95,1,0.0273,0.13,0.000651,0.11,0.256,156.156,anime,4.08995,Larga,Media
Evan Call,VIOLET EVERGARDEN: Automemories,Never Coming Back,53.0,False,0.406,0.0277,2,-17.493499999999997,0,0.0542,0.987,0.12175,0.0788,0.189,147.966,anime,2.403766666666667,Corta,Media
Aimer,Walpurgis,Torches,51.0,False,0.525,0.665,0,-6.579,1,0.0274,0.577,0.0,0.142,0.36,82.044,anime,4.9126666666666665,Larga,Media
Kenshi Yonezu,Lemon,Lemon,53.0,False,0.532,0.661,11,-4.924,1,0.0268,0.366,0.0,0.354,0.446,86.983,anime,4.268416666666667,Larga,Media
Eve,Bunka,Anoko secret,61.0,False,0.495,0.951,6,-1.642,0,0.0696,0.00195,0.0,0.252,0.748,159.866,anime,3.885866666666667,Media,Alta
Chewie Melodies,Tsurumi Fog Island Piano Cover Collection,Through the Mists,49.0,False,0.615,0.0123,5,-17.493499999999997,1,0.0595,0.989,0.12175,0.0913,0.137,140.079,anime,1.5145166666666667,Corta,Media
Centimillimental,やさしい刃物,キヅアト,57.0,False,0.393,0.935,1,-2.052,0,0.0823,0.0198,0.0,0.354,0.68,177.862,anime,4.088666666666667,Larga,Media
JAM Project,THE HERO !! 〜怒れる拳に火をつけろ〜,THE HERO !! 〜怒れる拳に火をつけろ〜,50.0,False,0.47,0.962,2,-3.51,1,0.121,5.24e-05,0.0,0.204,0.189,130.078,anime,3.8311166666666665,Media,Media
Samuel Kim,Evil Morty Theme (For The Damaged Coda) [Epic Version],Evil Morty Theme (For The Damaged Coda) - Epic Version,58.0,False,0.186,0.479,0,-9.437,0,0.034,0.408,0.12175,0.0884,0.0361,141.617,anime,3.7635,Media,Media
Samuel Kim,Yoriichi Theme,Yoriichi Theme,46.0,False,0.271,0.597,2,-7.93,0,0.0334,0.548,0.12175,0.0848,0.111,91.903,anime,2.2914666666666665,Corta,Media
UVERworld,UNSER,ODD FUTURE,59.0,False,0.699,0.8,5,-4.717,0,0.0901,0.016,1.19e-06,0.0906,0.561,128.021,anime,3.7748833333333334,Media,Media
majiko,Contrast,Irony,53.0,False,0.659,0.658,2,-3.928,1,0.0256,0.162,0.0,0.0467,0.538,89.987,anime,4.074066666666667,Larga,Media
Kato,Ghibli Vibes,Howl's Moving Castle (Merry Go Round),51.0,False,0.586,0.457,10,-9.215,1,0.029,0.566,0.12175,0.12,0.21,110.034,anime,2.221433333333333,Corta,Media
Kato,Naruto Vibes,Hokage's Funeral,48.0,False,0.566,0.436,9,-6.837,0,0.0274,0.677,0.12175,0.133,0.129,136.084,anime,1.7549333333333332,Corta,Media
Raimu,The Spirit Within,Shou Ga Nai,63.0,False,0.725,0.308,10,-14.737,0,0.0417,0.813,0.12175,0.5355000000000001,0.122,124.004,anime,2.6878333333333333,Media,Alta
SEKAI NO OWARI,Habit,Habit,75.0,False,0.749,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,anime,4.219216666666667,Larga,Alta
Akari Kito,Desire Again,Tiny Light,54.0,False,0.497,0.947,7,-3.99,1,0.061,0.0351,1.33e-05,0.191,0.302,169.995,anime,4.846883333333333,Larga,Media
Kato,Anime & Chill,Unravel (Tokyo Ghoul),49.0,False,0.865,0.229,10,-13.292,1,0.0799,0.759,0.12175,0.107,0.323,120.018,anime,1.9353666666666667,Corta,Media
Rustage;GoldenEMP,Never Giving In (Ichigo Rap),Never Giving In (Ichigo Rap),42.0,False,0.691,0.806,6,-5.386,0,0.1575875,0.324,0.0,0.0526,0.62,74.986,anime,3.54645,Media,Media
Konomi Suzuki,LIFE of DASH,This game,56.0,False,0.477,0.924,11,-2.997,0,0.0758,0.0477,0.0,0.0571,0.269,146.964,anime,4.734666666666667,Larga,Media
Kato,Stranger Things Vibes,Creep,25.0,False,0.559,0.337,7,-15.041,1,0.058,0.964,0.12175,0.0869,0.0787,155.979,anime,2.2179333333333333,Corta,Baja
Rustage;Johnald,Over For You (Rengoku Rap),Over For You (Rengoku Rap),49.0,False,0.693,0.871,11,-4.549,0,0.1575875,0.181,0.0,0.0893,0.612,159.995,anime,3.5999333333333334,Media,Media
Kato,Stranger Things Vibes,Kids,25.0,False,0.703,0.265,10,-16.359,1,0.0403,0.986,0.12175,0.137,0.131,120.061,anime,1.4708333333333334,Corta,Baja
Rustage,Pirate King,Pirate King,50.0,True,0.797,0.606,7,-9.388,1,0.1575875,0.28,0.0,0.334,0.696,139.736,anime,2.74285,Media,Media
Kato,Stranger Things Vibes,Eleven,24.0,False,0.229,0.341,7,-17.493499999999997,0,0.041,0.971,0.12175,0.333,0.0722,182.425,anime,1.74175,Corta,Baja
Eir Aoi,D'AZUR,IGNITE,59.0,False,0.414,0.972,9,-2.41,0,0.1575875,0.00721,0.0,0.3,0.395,170.957,anime,4.06955,Larga,Media
Kato,Stranger Things Vibes,Never Ending Story,24.0,False,0.57,0.336,5,-12.397,1,0.0379,0.942,0.12175,0.103,0.145,119.835,anime,1.6333333333333333,Corta,Baja
Kato,Sleep Anime Lofi Beats,To the Grand Line (One Piece),58.0,False,0.49,0.0451,0,-17.493499999999997,1,0.0309,0.815,0.12175,0.109,0.338,108.083,anime,1.4396666666666667,Corta,Media
Kato,Stranger Things Vibes,Every Breath You Take,23.0,False,0.61,0.438,5,-13.021,0,0.029,0.931,0.12175,0.116,0.258,99.755,anime,1.3625,Corta,Baja
Kato,Stranger Things Vibes,Separate Ways,23.0,False,0.525,0.436,11,-16.268,0,0.0313,0.96,0.12175,0.17,0.195,129.003,anime,1.3798333333333332,Corta,Baja
Kato,Sleep Anime Lofi Beats,Path of the Wind (My Neighbor Totoro),59.0,False,0.379,0.112,8,-17.493499999999997,1,0.0351,0.926,0.12175,0.107,0.0988,50.32,anime,1.2119833333333334,Corta,Media
Kato,Sleep Anime Lofi Beats,Gurenge Lofi (Demon Slayer),58.0,False,0.622,0.124,4,-17.493499999999997,0,0.0369,0.717,0.12175,0.095,0.178,134.025,anime,1.2086166666666667,Corta,Media
Kato,Stranger Things Vibes,Running Up That Hill - Lofi,29.0,False,0.652,0.347,0,-11.901,0,0.0304,0.79,1.57e-05,0.119,0.109,105.981,anime,2.76415,Media,Baja
Kato,Sleep Anime Lofi Beats,Loneliness (Naruto),58.0,False,0.619,0.0834,2,-17.493499999999997,0,0.0393,0.612,0.12175,0.126,0.2,100.008,anime,0.94705,Corta,Media
Kato,Stranger Things Vibes,Stranger Things Theme - Lofi,26.0,False,0.525,0.707,4,-13.787,0,0.0667,0.812,0.12175,0.432,0.221,140.016,anime,1.2142833333333334,Corta,Baja
ENHYPEN;YEONJUN,DIMENSION : DILEMMA,Blockbuster feat. YEONJUN of TOMORROW X TOGETHER,59.0,False,0.495,0.926,8,-4.589,0,0.1575875,0.0384,0.0,0.348,0.642,159.922,anime,3.7908833333333334,Media,Media
ENHYPEN,DIMENSION : DILEMMA,"Attention, please!",61.0,False,0.498,0.871,2,-4.593,0,0.0494,0.000483,0.0,0.279,0.613,150.035,anime,2.7932333333333332,Media,Alta
Mrs. GREEN APPLE,Mrs. GREEN APPLE,サママ・フェスティバル!,42.0,False,0.433,0.971,9,-0.9,1,0.0634,0.00339,4.14e-05,0.0598,0.626,169.989,anime,4.38955,Larga,Media
Yasuharu Takanashi;YAIBA,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック Ⅱ,五月雨,47.0,False,0.439,0.129,2,-15.99,0,0.0328,0.674,0.12175,0.114,0.14,111.654,anime,3.462,Media,Media
Kaoru Wada,"Inuyasha Original Soundtrack Album ""Inuyasha Music Collection 3""",Futari no kimochi,52.0,False,0.265,0.172,7,-14.992,0,0.0389,0.803,0.12175,0.143,0.071,119.741,anime,2.655,Media,Media
SID,SID ALL SINGLES BEST,乱舞のメロディ,60.0,False,0.417,0.966,4,-3.072,1,0.1575875,0.00224,1.97e-06,0.145,0.623,192.067,anime,3.8777666666666666,Media,Media
Yasuharu Takanashi,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,疾風伝,49.0,False,0.431,0.9,11,-8.631,1,0.0537,0.0035,0.12175,0.383,0.45,155.075,anime,2.0997666666666666,Corta,Media
桶狭間ありさ,TVアニメ『呪術廻戦』オリジナル・サウンドトラック,自閉円頓裹,42.0,False,0.51,0.942,2,-7.227,1,0.0368,0.00544,0.12175,0.0649,0.514,159.922,anime,1.87555,Corta,Media
Kijugo,Kaikai Kitan but is it okay if it's lofi?,Kaikai Kitan but is it okay if it's lofi?,49.0,False,0.896,0.374,10,-17.493499999999997,1,0.106,0.754,0.12175,0.122,0.641,139.959,anime,1.9285833333333333,Corta,Media
NICO Touches the Walls,PASSENGER,Diver,56.0,False,0.334,0.915,11,-2.124,0,0.0848,0.000182,0.0,0.137,0.478,148.995,anime,4.148883333333333,Larga,Media
Fery,Naruto Shippuden Samidare (Trap Remix),Naruto Shippuden Samidare - Trap Remix,40.0,False,0.678,0.475,11,-10.478,0,0.0322,0.155,0.12175,0.167,0.358,123.016,anime,3.2520166666666666,Media,Baja
スピラ・スピカ,燦々デイズ,燦々デイズ,55.0,False,0.482,0.925,1,-2.131,1,0.0514,0.0591,0.0,0.228,0.763,180.056,anime,3.8668833333333335,Media,Media
ASIAN KUNG-FU GENERATION,ソルファ,Re:Re:,59.0,False,0.537,0.864,4,-5.049,1,0.0369,0.000318,0.12175,0.108,0.727,153.035,anime,3.812666666666667,Media,Media
Kijugo,My War but is it okay if it's lofi?,My War but is it okay if it's lofi?,50.0,False,0.898,0.389,9,-17.493499999999997,1,0.109,0.853,0.12175,0.107,0.573,130.02,anime,1.68925,Corta,Media
SPYAIR,BEST,イマジネーション,57.0,False,0.481,0.938,1,-2.967,1,0.0593,0.00239,2.53e-05,0.118,0.589,101.922,anime,2.98555,Media,Media
UVERworld,ODD FUTURE short ver.,ODD FUTURE short ver.,56.0,False,0.691,0.895,0,-4.3,0,0.0756,0.0274,0.0,0.503,0.581,127.924,anime,1.4997166666666666,Corta,Media
Yuki Hayashi,TVアニメ『ハイキュー!! セカンドシーズン』オリジナル・サウンドトラック (Vol.1),上,50.0,False,0.255,0.954,5,-3.553,1,0.1575875,0.00123,0.12175,0.111,0.406,179.972,anime,4.018,Larga,Media
いとうかなこ,ファティマ(TVアニメ「シュタインズ・ゲート ゼロ」OPテーマ),ファティマ,55.0,False,0.362,0.926,1,-3.532,0,0.0622,0.000273,0.00373,0.258,0.673,178.991,anime,4.1031,Larga,Media
KM,Bunny Girl,Bunny Girl,45.0,True,0.728,0.575,4,-12.309,0,0.125,0.5,0.0,0.5355000000000001,0.546,135.095,anime,1.4423166666666667,Corta,Media
Feora,Counter Attack Mankind,Counter Attack Mankind,48.0,False,0.4,0.405,9,-16.459,1,0.0303,0.735,0.12175,0.116,0.0955,171.966,anime,2.32555,Corta,Media
eill,Palette,Koko de Iki wo Shite,53.0,False,0.668,0.747,5,-2.812,0,0.0574,0.0772,0.0,0.145,0.811,107.029,anime,3.5997333333333335,Media,Media
Ikimonogakari,超いきものばかり〜てんねん記念メンバーズBESTセレクション〜,ブルーバード,50.0,False,0.536,0.966,6,-2.929,0,0.0558,0.121,0.0,0.0477,0.849,152.076,anime,3.6168833333333335,Media,Media
Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",Call Your Name,55.0,False,0.567,0.3,11,-8.421,0,0.0291,0.0145,0.0,0.0687,0.196,141.819,anime,4.472216666666666,Larga,Media
Aimer,朝が来る,朝が来る,57.0,False,0.335,0.92,1,-4.086,1,0.0986,0.00118,0.0,0.354,0.246,83.117,anime,4.91555,Larga,Media
Kijugo,Kamado Tanjiro no Uta but is it okay if it's lofi?,Kamado Tanjiro no Uta but is it okay if it's lofi?,49.0,False,0.809,0.193,5,-16.189,1,0.0427,0.499,0.12175,0.117,0.26,140.009,anime,2.55,Media,Media
ENHYPEN,Always,Always,59.0,False,0.804,0.771,7,-3.836,1,0.059,0.0466,0.0,0.109,0.73,110.014,anime,3.114533333333333,Media,Media
Yugo Kanno,JOJO'S BIZARRE ADVENTURE -Stardust Crusaders O.S.T [Departure],Stardust Crusaders,57.0,False,0.272,0.926,5,-6.754,0,0.114,3.13e-05,0.12175,0.308,0.24,140.01,anime,5.13155,Larga,Media
Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",Symphonicsuite (Aot) Part2-1st: Attack on Titan (Wmid),52.0,False,0.496,0.736,5,-6.039,1,0.0827,0.0161,0.0208,0.362,0.0737,124.692,anime,5.178216666666667,Larga,Media
KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,The Other Side of the Sea,47.0,False,0.276,0.5,7,-9.815,1,0.0354,0.0066,0.12175,0.339,0.0586,173.926,anime,4.958216666666667,Larga,Media
Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",Zero Eclipse,51.0,False,0.637,0.756,7,-4.614,0,0.0314,0.0382,0.0,0.0508,0.334,134.011,anime,4.23155,Larga,Media
Rustage;Broken,Bounce Back (Luffy Rap),Bounce Back (Luffy Rap),49.0,False,0.829,0.885,9,-3.672,0,0.1575875,0.392,0.0,0.0653,0.674,125.098,anime,3.042,Media,Media
中野家の五つ子,Gotoubun no Kimochi,Gotoubun no Kimochi,54.0,False,0.527,0.922,4,-2.637,1,0.0414,0.0645,9.05e-05,0.314,0.915,175.032,anime,3.7037666666666667,Media,Media
ENHYPEN,DIMENSION : ANSWER,Just A Little Bit,56.0,False,0.441,0.59,0,-5.615,1,0.0514,0.242,0.0,0.349,0.411,84.633,anime,2.797,Media,Media
ENHYPEN,BORDER : 儚い,Forget Me Not,58.0,False,0.569,0.877,8,-3.593,1,0.117,0.0134,0.0,0.342,0.782,161.133,anime,3.398216666666667,Media,Media
TRUE,Lonely Queen's Liberation Party,Sincerely,56.0,False,0.409,0.819,9,-3.784,0,0.0564,0.0351,0.0,0.322,0.458,143.937,anime,4.596666666666667,Larga,Media
EGOIST,Extra terrestrial Biological Entities,Departures 〜あなたにおくるアイの歌〜,41.0,False,0.47,0.426,2,-8.187,1,0.0304,0.5,0.0,0.0747,0.264,143.95,anime,4.250216666666667,Larga,Media
Rustage;Or3o;McGwire,Family Business (Spy x Family Rap),Family Business (Spy x Family Rap),49.0,False,0.808,0.883,7,-3.484,1,0.1575875,0.487,1.2e-06,0.12,0.547,140.195,anime,3.1107,Media,Media
Khantrast,Naruto Theme Song Freestyle,Naruto Theme Song Freestyle,52.0,True,0.844,0.891,2,-2.161,1,0.1575875,0.216,0.0,0.163,0.591,126.98,anime,2.405133333333333,Corta,Media
Kato,Sleep Anime Lofi Beats,Sparkle Lofi (Your Name),58.0,False,0.368,0.0509,11,-17.493499999999997,1,0.0333,0.959,0.12175,0.14,0.446,185.343,anime,1.13405,Corta,Media
Kato,Sleep Anime Lofi Beats,Howl's Moving Castle Lofi (Merry Go Round),58.0,False,0.767,0.208,6,-17.493499999999997,1,0.0601,0.533,0.12175,0.098,0.232,120.089,anime,1.0508166666666667,Corta,Media
Kato,Sleep Anime Lofi Beats,The World Lofi (Death Note),57.0,False,0.376,0.0555,7,-17.493499999999997,1,0.0365,0.764,0.12175,0.38,0.106,141.204,anime,1.5777,Corta,Media
Kato,Sleep Anime Lofi Beats,Inferno Lofi (Fire Force),58.0,False,0.475,0.0733,4,-17.493499999999997,1,0.0318,0.898,0.12175,0.0908,0.135,94.218,anime,1.2860333333333334,Corta,Media
Kato,Sleep Anime Lofi Beats,Departure Lofi (Hunter X Hunter),57.0,False,0.29,0.0778,10,-17.493499999999997,0,0.0314,0.938,0.12175,0.0981,0.13,56.458,anime,1.3905333333333334,Corta,Media
Kato,Sleep Anime Lofi Beats,Shinzou Wo Sasageyo! (Attack On Titan),58.0,False,0.572,0.108,0,-17.493499999999997,0,0.0468,0.898,0.12175,0.1,0.469,74.998,anime,0.9384166666666667,Corta,Media
Kato,Sleep Anime Lofi Beats,The Day Lofi (My Hero Academia),57.0,False,0.512,0.047,1,-17.493499999999997,0,0.0326,0.847,0.12175,0.343,0.0837,96.002,anime,1.4282166666666667,Corta,Media
Bastiancortesxv,Karma,Karma,40.0,False,0.587,0.394,8,-12.978,0,0.0953,0.278,0.0,0.262,0.211,163.71,anime,3.9503166666666667,Media,Baja
wacci,空に笑えば,空に笑えば,41.0,False,0.542,0.746,4,-3.802,0,0.0263,0.0565,0.0,0.126,0.504,82.039,anime,5.322216666666667,Larga,Media
Official HIGE DANdism,Traveler,Pretender,60.0,False,0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,anime,5.4473666666666665,Larga,Media
Kato,Sleep Anime Lofi Beats,Crossing Fields (Sword Art Online),57.0,False,0.422,0.0597,2,-17.493499999999997,0,0.04,0.985,0.12175,0.103,0.0544,56.123,anime,1.6214166666666667,Corta,Media
Kato,Sleep Anime Lofi Beats,Again Lofi (Fullmetal Alchemist Brotherhood),57.0,False,0.332,0.107,4,-17.493499999999997,0,0.0399,0.795,0.12175,0.108,0.128,179.117,anime,1.5486166666666668,Corta,Media
Kato,Sleep Anime Lofi Beats,Princess Mononoke Lofi (The Legend of Ashitaka),58.0,False,0.564,0.0666,5,-17.493499999999997,0,0.0353,0.953,0.12175,0.113,0.333,136.153,anime,1.15805,Corta,Media
Mrs. GREEN APPLE,サママ・フェスティバル!,サママ・フェスティバル!,41.0,False,0.404,0.963,4,-1.707,1,0.0663,0.00151,1.06e-05,0.0521,0.607,169.963,anime,4.402666666666667,Larga,Media
Kato,Sleep Anime Lofi Beats,This Game Lofi (No Game No Life),58.0,False,0.205,0.0634,7,-17.493499999999997,1,0.0424,0.908,0.12175,0.104,0.198,88.565,anime,1.2789,Corta,Media
Yasuharu Takanashi,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,空蝉,50.0,False,0.225,0.156,2,-17.042,0,0.0363,0.895,0.12175,0.161,0.0415,98.63,anime,2.9211,Media,Media
NICO Touches the Walls,ニコ タッチズ ザ ウォールズ ノ ベスト,ニワカ雨ニモ負ケズ,58.0,False,0.38,0.951,1,-2.92,1,0.147,0.00282,0.0,0.0536,0.664,186.127,anime,4.360883333333334,Larga,Media
Masato(coldrain);coladrain;Hiroaki Tsutsumi,TVアニメ『呪術廻戦』オリジナル・サウンドトラック,REMEMBER,48.0,False,0.383,0.944,1,-5.552,0,0.154,0.00105,9.64e-05,0.282,0.332,150.577,anime,4.05555,Larga,Media
SID,hikari,嘘,60.0,False,0.438,0.939,11,-3.545,0,0.0586,0.0118,0.0,0.212,0.842,179.853,anime,3.4328833333333333,Media,Media
sasanomaly,空と虚,空と虚,55.0,False,0.669,0.751,5,-5.447,0,0.0299,0.00483,0.0237,0.326,0.833,103.976,anime,3.730766666666667,Media,Media
the peggies,足跡,足跡,56.0,False,0.388,0.791,9,-2.25,1,0.0358,0.00077,2.41e-05,0.116,0.775,163.943,anime,3.79955,Media,Media
Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",T-Kt,51.0,False,0.28,0.159,2,-12.936,0,0.0392,0.652,0.12175,0.0948,0.0393,58.714,anime,2.9093333333333335,Media,Media
Sayuri,Sorewa Chiisana Hikarinoyouna,それは小さな光のような,36.0,False,0.492,0.959,7,0.698,0,0.0535,0.109,0.0,0.0796,0.349,143.966,anime,4.5486,Larga,Baja
Hiroyuki Sawano,「バブル」オリジナル・サウンドトラック (Extra Track ver.),UTAtoHIBIKI,51.0,False,0.652,0.372,0,-9.151,1,0.0327,0.687,0.12175,0.0907,0.266,126.034,anime,1.5396666666666667,Corta,Media
Hideki Taniuchi,DEATH NOTE Original Soundtrack,Death Note,44.0,False,0.353,0.323,8,-4.171,1,0.039,3.82e-05,0.12175,0.154,0.208,134.852,anime,3.168,Media,Media
Kijugo,Fukashigi no Carte but is it okay if it's lofi?,Fukashigi no Carte but is it okay if it's lofi?,50.0,False,0.792,0.138,2,-17.393,0,0.0832,0.949,0.12175,0.124,0.434,80.028,anime,2.75,Media,Media
はてな,声?,声?,52.0,False,0.42,0.964,5,-3.35,1,0.0902,0.015,0.0,0.207,0.584,170.019,anime,4.121766666666667,Larga,Media
Hideki Taniuchi,DEATH NOTE Original Soundtrack,L no Theme B,43.0,False,0.742,0.923,11,-6.316,0,0.0293,0.047,0.0335,0.064,0.892,110.006,anime,2.9,Media,Media
茅原実里,みちしるべ,みちしるべ,48.0,False,0.289,0.422,9,-5.88,1,0.0337,0.171,0.0,0.0862,0.212,173.795,anime,4.7951,Larga,Media
Feora,Vogel im Kafig,Vogel im Kafig,45.0,False,0.431,0.385,9,-10.433,0,0.0332,0.0117,0.12175,0.11,0.122,159.956,anime,2.926816666666667,Media,Media
Aimer,SPARK-AGAIN,SPARK-AGAIN,58.0,False,0.399,0.946,11,-3.397,0,0.15,0.000913,0.00462,0.356,0.502,90.068,anime,4.069333333333334,Larga,Media
UVERworld,ODD FUTURE,ODD FUTURE,56.0,False,0.694,0.795,0,-4.649,0,0.0924,0.015,0.0,0.114,0.556,128.036,anime,3.7651,Media,Media
Kato,One Piece Vibes,To the Grand Line,48.0,False,0.516,0.485,0,-10.219,1,0.0301,0.0159,0.12175,0.185,0.27,78.04,anime,1.97435,Corta,Media
ASIAN KUNG-FU GENERATION,BEST HIT AKG 2 (2012-2018),ブラッドサーキュレーター,57.0,False,0.372,0.975,0,-2.856,1,0.126,0.0493,0.0,0.331,0.3,181.017,anime,3.713766666666667,Media,Media
Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,SAKURA,52.0,False,0.463,0.514,5,-5.031,0,0.0301,0.141,0.0,0.37,0.41,149.951,anime,5.8966666666666665,Larga,Media
Samuel Kim,"Luffy's Fierce Attack (from ""One Piece"")","Luffy's Fierce Attack (from ""One Piece"")",45.0,False,0.445,0.82,8,-7.538,1,0.0407,0.0508,0.12175,0.198,0.438,102.826,anime,2.8249333333333335,Media,Media
CHiCO with HoneyWorks,我武者羅 (TV size),我武者羅 (TV size),49.0,False,0.509,0.965,11,-3.007,1,0.129,0.257,0.0,0.4,0.755,97.006,anime,1.5,Corta,Media
UVERworld,Timeless,D-tecnoLife,60.0,False,0.463,0.934,1,-3.566,0,0.141,0.0223,0.0,0.301,0.649,168.005,anime,3.898216666666667,Media,Media
SCREEN mode,1/1,Reason Living,52.0,False,0.415,0.943,8,-2.531,1,0.0662,0.007,0.0,0.385,0.555,91.456,anime,4.071766666666667,Larga,Media
ASCA,百歌繚乱,RESISTER,58.0,False,0.483,0.946,8,-3.059,1,0.0906,0.00997,0.0,0.141,0.4,91.497,anime,3.784666666666667,Media,Media
Rustage,Sasuke,Sasuke,42.0,True,0.739,0.893,3,-3.701,0,0.1575875,0.622,0.0,0.136,0.794,136.119,anime,3.02955,Media,Media
FantasticYouth,外道讃歌,外道讃歌,53.0,False,0.609,0.749,6,-3.373,1,0.0461,0.376,0.0,0.0628,0.533,99.951,anime,4.48385,Larga,Media
halca,Assortrip,センチメンタルクライシス,54.0,False,0.409,0.896,7,-2.535,1,0.105,0.0107,0.0018,0.127,0.577,167.127,anime,4.066,Larga,Media
MAN WITH A MISSION,Dark Crow,Dark Crow,56.0,False,0.537,0.944,7,-4.406,1,0.0988,0.00634,0.0,0.0233,0.36,148.019,anime,4.636433333333334,Larga,Media
Otaku,Ghibli Lofi,Aryetti's Song,60.0,False,0.49,0.296,3,-17.493499999999997,0,0.0301,0.726,0.12175,0.106,0.339,75.012,anime,1.9269333333333334,Corta,Media
Samuel Kim,"Kamado Tanjirou no Uta - Orchestral Version (from ""Demon Slayer"")","Kamado Tanjirou no Uta - Orchestral Version (from ""Demon Slayer"")",47.0,False,0.322,0.378,2,-8.655,0,0.0304,0.512,0.12175,0.169,0.107,75.853,anime,3.6280166666666664,Media,Media
Official HIGE DANdism,Subtitle,Subtitle,53.0,False,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,anime,5.091816666666666,Larga,Media
Kenzie Smith Piano,"Anime Music Collection Piano Solo, Vol. 7","Sadness and Sorrow (From ""Naruto"")",49.0,False,0.536,0.0486,4,-17.493499999999997,0,0.132,0.92,0.12175,0.0821,0.157,128.263,anime,3.17125,Media,Media
Rustage,Yellow Flash (Minato Rap),Yellow Flash (Minato Rap),41.0,False,0.737,0.83,11,-4.767,0,0.1575875,0.485,0.0,0.0936,0.591,75.02,anime,2.6134666666666666,Media,Media
中野家の五つ子,Gotoubun no Katachi / Hatsukoi (Special Edition),Gotoubun no Katachi,52.0,False,0.509,0.889,7,-2.174,1,0.0435,0.0805,2.06e-05,0.183,0.859,158.006,anime,4.062216666666667,Larga,Media
Joe Hisaishi,Howl's Moving Castle Soundtrack,The Flower Garden,64.0,False,0.0999,0.181,0,-17.493499999999997,0,0.0424,0.94,0.12175,0.105,0.0922,71.277,anime,2.9751,Media,Alta
KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,The Warriors,46.0,False,0.513,0.753,0,-9.129,1,0.0384,0.0227,0.12175,0.103,0.247,150.004,anime,4.106883333333333,Larga,Media
Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,A Town with an Ocean View,59.0,False,0.524,0.345,7,-15.659,1,0.0261,0.489,0.013,0.342,0.771,106.621,anime,3.00555,Media,Media
Hiroyuki Sawano,Attack On Titan The Final Season Original Soundtrack 02,attack ON taian [TFSv],47.0,False,0.547,0.807,4,-8.984,0,0.0694,0.00515,0.12175,0.0926,0.171,125.008,anime,4.950433333333334,Larga,Media
Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",The Reluctant Heroes,54.0,False,0.552,0.804,11,-7.233,0,0.0968,0.00486,2.75e-05,0.414,0.543,127.039,anime,4.452,Larga,Media
Kato,Ghibli Vibes,My Neighbor Totoro (Path of the Wind),49.0,False,0.636,0.293,8,-10.486,1,0.0277,0.826,0.12175,0.116,0.286,76.01,anime,1.7456,Corta,Media
Samuel Kim,Rex Incognito (Zhongli Theme) - Epic Version,Rex Incognito (Zhongli Theme) - Epic Version,44.0,False,0.456,0.859,5,-7.397,0,0.0471,0.000837,0.12175,0.137,0.143,144.967,anime,2.9344833333333336,Media,Media
Linked Horizon,Shoukei to Shikabane no Michi [TV Size],Shoukei to Shikabane no Michi [TV Size],54.0,False,0.408,0.943,0,-4.579,0,0.0913,0.226,0.0,0.352,0.807,178.076,anime,1.5015,Corta,Media
Rustage;OzzaWorld,Next Hokage (Naruto Rap) [feat. Ozzaworld],Next Hokage (Naruto Rap) [feat. Ozzaworld],42.0,False,0.844,0.828,11,-5.346,0,0.12,0.56,0.0,0.128,0.834,100.035,anime,3.3201,Media,Media
frad,Unrequited Love,The Girl I Have a Crush On,56.0,False,0.686,0.329,7,-10.924,1,0.0431,0.875,0.12175,0.5355000000000001,0.558,190.007,anime,2.2913833333333335,Corta,Media
